ECO,Wins,Losses,Draws
C20 (White),"[0, 4, 0]"
A45 (White),"[29, 31, 1]"
B01 (Black),"[13, 3, 0]"
C21 (Black),"[2, 0, 0]"
D00 (White),"[164, 108, 10]"
A40 (Black),"[7, 1, 0]"
D03 (White),"[0, 1, 0]"
D00 (Black),"[15, 7, 0]"
B00 (Black),"[20, 10, 0]"
A46 (White),"[1, 1, 0]"
D02 (White),"[55, 46, 8]"
A40 (White),"[115, 105, 6]"
A00 (Black),"[29, 39, 4]"
A48 (Black),"[1, 2, 0]"
A45 (Black),"[4, 2, 0]"
C00 (Black),"[25, 19, 0]"
B23 (Black),"[14, 19, 3]"
C50 (Black),"[6, 1, 1]"
C20 (Black),"[9, 7, 0]"
D30 (Black),"[0, 1, 0]"
C23 (Black),"[2, 0, 0]"
C46 (Black),"[2, 1, 1]"
D31 (Black),"[0, 1, 0]"
A04 (Black),"[10, 9, 0]"
C44 (Black),"[1, 0, 0]"
A80 (White),"[8, 5, 0]"
A04 (White),"[2, 0, 0]"
B20 (Black),"[62, 50, 2]"
C40 (Black),"[0, 4, 1]"
C47 (Black),"[1, 0, 0]"
C00 (White),"[1, 0, 0]"
A10 (Black),"[0, 1, 0]"
B21 (Black),"[30, 23, 2]"
B27 (Black),"[36, 36, 1]"
A43 (Black),"[36, 32, 3]"
D06 (Black),"[0, 1, 0]"
B28 (Black),"[0, 1, 0]"
A02 (Black),"[1, 2, 0]"
B50 (Black),"[1, 0, 0]"
A48 (White),"[0, 1, 1]"
A43 (White),"[4, 4, 0]"
C22 (Black),"[1, 0, 0]"
C25 (Black),"[3, 0, 0]"
C02 (Black),"[10, 5, 1]"
C45 (Black),"[1, 0, 0]"
A06 (Black),"[3, 1, 0]"
D02 (Black),"[8, 4, 0]"
A01 (Black),"[4, 1, 0]"
C79 (Black),"[0, 1, 0]"
B02 (Black),"[3, 2, 0]"
C10 (Black),"[2, 3, 0]"
A41 (White),"[10, 13, 2]"
C41 (Black),"[1, 1, 0]"
A03 (Black),"[2, 0, 0]"
C48 (Black),"[1, 0, 0]"
C43 (Black),"[0, 1, 0]"
C30 (Black),"[0, 1, 0]"
B07 (Black),"[1, 0, 0]"
C01 (Black),"[3, 4, 0]"
C55 (Black),"[1, 0, 0]"
A07 (Black),"[1, 0, 0]"
E60 (Black),"[1, 0, 0]"
B06 (Black),"[0, 1, 0]"
A00 (White),"[2, 5, 0]"
C05 (Black),"[1, 0, 0]"
C11 (Black),"[0, 2, 0]"
C15 (Black),"[0, 2, 0]"
A08 (Black),"[0, 1, 0]"
A57 (Black),"[0, 1, 0]"
B40 (Black),"[3, 2, 0]"
A35 (Black),"[1, 0, 0]"
B32 (Black),"[3, 3, 0]"
B22 (Black),"[3, 2, 0]"
B29 (Black),"[8, 6, 0]"
A02 (White),"[0, 2, 1]"
A34 (Black),"[0, 1, 0]"
B33 (Black),"[2, 0, 0]"
B12 (Black),"[0, 1, 0]"
B30 (Black),"[1, 0, 0]"
B13 (Black),"[1, 2, 0]"
B10 (Black),"[1, 0, 0]"
B10 (White),"[0, 1, 0]"
C21 (White),"[0, 1, 0]"
A56 (Black),"[4, 1, 0]"
A44 (Black),"[1, 0, 0]"
A30 (Black),"[0, 1, 0]"
B15 (Black),"[0, 1, 0]"
D10 (Black),"[0, 1, 0]"
