ECO,White_Games,White_Wins,White_Draws,White_Losses,Black_Games,Black_Wins,Black_Draws,Black_Losses,Total_Games
A00,0,0,0,0,33,17,2,14,33
A01,0,0,0,0,2,0,0,2,2
A03,0,0,0,0,1,0,0,1,1
A04,0,0,0,0,2,1,0,1,2
A06,0,0,0,0,2,1,0,1,2
A08,0,0,0,0,1,0,0,1,1
A30,0,0,0,0,1,0,0,1,1
A40,89,44,0,45,5,2,0,3,94
A41,13,5,0,8,0,0,0,0,13
A43,5,1,0,4,51,17,1,33,56
A45,16,9,0,7,0,0,0,0,16
A46,0,0,0,0,5,2,1,2,5
A48,1,1,0,0,0,0,0,0,1
A51,0,0,0,0,1,0,0,1,1
A56,0,0,0,0,1,0,0,1,1
A60,0,0,0,0,1,1,0,0,1
A80,3,1,0,2,0,0,0,0,3
B00,0,0,0,0,2,1,0,1,2
B20,0,0,0,0,67,29,1,37,67
B21,0,0,0,0,9,7,0,2,9
B22,0,0,0,0,4,1,0,3,4
B23,0,0,0,0,14,8,0,6,14
B27,0,0,0,0,20,8,2,10,20
B29,0,0,0,0,14,8,0,6,14
B30,0,0,0,0,1,0,0,1,1
B40,0,0,0,0,52,31,1,20,52
C00,0,0,0,0,23,8,1,14,23
C01,0,0,0,0,1,0,0,1,1
C02,0,0,0,0,11,6,0,5,11
C10,0,0,0,0,1,0,0,1,1
C21,0,0,0,0,1,0,0,1,1
D00,209,123,5,81,3,2,0,1,212
D02,6,3,0,3,13,7,1,5,19
D05,0,0,0,0,1,1,0,0,1
